Neutral	Marching Orders	Plot				1	9	3	5		You cannot marshal or play non-character cards this round.	Edict. War.	1.2
Neutral	Filthy Accusations	Plot				1	4	3	6		When Revealed: Choose and kneel 1 character.	Scheme.	1.2
Neutral	Counting Coppers	Plot				1	2	1	10		When Revealed: Draw 3 cards.	Kingdom.	1.0
Neutral	Taxation	Plot				1	5	6	6		You may marshal or play an additional limited card this round.	Edict. Kingdom.	1.0
Neutral	Calm Over Westeros	Plot				1	5	0	6		Plot deck limit: 1.When Revealed: Name a challenge type. Until you reveal a new plot card, reduce the claim on your opponent’s revealed plot card by 1 during challenges of that type that resolve against you.	Summer.	1.0
Neutral	Wildfire Assault	Plot				1	4	5	5		Forced Interrupt: When the marshaling phase ends, each player chooses up to 3 characters he or she controls. Kill all characters not chosen. (Cannot be saved.)	Scheme. War.	1.4
Neutral	Confiscation	Plot				1	4	8	6		When Revealed: You may choose and discard 1 attachment from play.	Edict.	1.0
Neutral	Summons	Plot				1	4	2	5		When Revealed: Search the top 10 cards of your deck for a character, reveal it, and add it to your hand. Shuffle your deck.	Kingdom.	1.4
Neutral	Building Orders	Plot				1	4	1	6		When Revealed: Search the top 10 cards of your deck for an attachment or a location, reveal it, and add it to your hand. Shuffle your deck.	Kingdom.	1.4
Neutral	The Winds of Winter	Plot				2	3	6	5		(no special ability)	Winter.	1.1
Neutral	Blockade	Plot				1	0	4	5		Plot deck limit: 1.Reduce the gold on each opponent’s revealed plot card to 0.	Siege. War. 	1.2
Neutral	Reinforcements	Plot				1	1	0	6		When Revealed: Choose a character with printed cost 5 or lower in your hand or discard pile, and put it into play.	Kingdom. War.	1.0
Neutral	A Game of Thrones	Plot				1	3	5	7		You may initiate an additional 󲀊 challenge  during the challenges phase.	Scheme.	1.0
Neutral	A Clash of Kings	Plot				1	4	7	6		You may initiate an additional 󲀉 challenge during the challenges phase.	Noble.	1.0
Neutral	A Storm of Swords	Plot				1	3	9	5		You may initiate an additional 󲀈 challenge during the challenges phase.	War.	1.0
Neutral	Sneak Attack	Plot				2	5	11	5		You cannot initiate more than 1 challenge while this plot is revealed.	Scheme.	1.4
Neutral	Marched to the Wall	Plot				1	4	6	6		When Revealed: Each player must choose and discard 1 character he or she controls from play, if able. (Cannot be saved.)	Edict.	1.4
Neutral	Supporting the Faith	Plot				1	6	3	4		Forced Interrupt: When the marshaling phase ends, each player must return all gold in his or her gold pool to the treasury.	Edict.	1.0
Neutral	Bodyguard	Attachment		1							Lord or Lady character only. Limit 1 copy per character.Interrupt: When attached character is killed or discarded from play, sacrifice Bodyguard to save that character.	Ally. Condition.	1.4
Neutral	Little Bird	Attachment		1							Attached character gains an 󲀊 icon.	Ally. Condition.	1.4
Neutral	Noble Lineage	Attachment		1							Attached character gains a 󲀉 icon.	Condition.	1.4
Neutral	Syrio’s Training	Attachment		1							Attached character gains a 󲀈 icon.	Condition. Skill.	1.4
Neutral	Milk of the Poppy	Attachment		1							Terminal. (If attached card leaves play, discard this attachment.)Treat attached character’s printed text box as if it were blank (except for Traits).	Condition.	1.0
Neutral	󲀋 Littlefinger	Character	  󲀊 󲀉	5						4	Reaction: After you marshal Littlefinger, draw 2 cards.            [+1 GOLD]	Ally. Lord.	1.4
Neutral	󲀋 Seal of the Hand	Attachment		3							Lord or Lady character only.Action: Kneel Seal of the Hand to stand attached character.	Item.	1.4
Neutral	󲀋 Varys	Character	  󲀊  	6						3	Stealth.Interrupt: When the dominance phase ends, remove Varys from the game to discard all characters from play.	Lord. Spy.	1.4
Neutral	Wildling Raiders	Character	󲀈    	4						3	No attachments.Reaction: After you win a challenge in which Wildling Raiders participated as an attacker, choose 1 attachment controlled by the losing opponent, and discard it from play.	Army. Wildling.	1.0
Neutral	Put to the Sword	Event		1							Reaction: After you win a 󲀈 challenge by 5 or more total STR, choose and kill 1 character controlled by the losing opponent. (Max 1 per challenge.)		1.5
Neutral	Put to the Torch	Event		1							Reaction: After you win a 󲀈 or 󲀉 challenge in which you control a participating Army, Lord, or Lady character, choose and discard 1 location controlled by the losing opponent. (Max 1 per challenge.)		1.5
Neutral	󲀋 Fealty	Attachment		1							Attach to your faction card.Marshaling Action: Kneel attached faction card to reduce the cost of the next in-faction unique character you play this phase by 2.	Condition.	1.5
Neutral	Tears of Lys	Event		1							Reaction: After you win an 󲀊 challenge, choose and kill a character without an 󲀊 icon controlled by the losing opponent. (Max 1 per challenge.)		1.1
Neutral	Superior Claim	Event		0							Reaction: After you win a 󲀉 challenge by 5 or more total STR, gain 2 power for your faction. (Max 1 per challenge.)		1.0
Neutral	The Hand’s Judgement	Event		X							Interrupt: When an opponent plays an event card, cancel its effects. X is the event card’s printed cost.		1.4
Neutral	󲀋 The Iron Throne	Location		3							If you are the only player to control the Iron Throne, you automatically win dominance.[+1 GOLD]	King’s Landing.	1.4
Stark	War Host of the North	Character	󲀈   󲀉	8						8	No attachments. Renown.Challenges Action: Discard War Host of the North from your hand to choose an attacking or defending 󲀆 character. Until the end of the challenge, that character gets +4 STR.	Army.	1.4
Stark	󲀋 Eddard Stark	Character	󲀈   󲀉	7						5	Renown.Dominance Action: Kneel Eddard Stark and reveal your hand to choose and kill a character controlled by a player who initiated a 󲀈 or a 󲀉 challenge against you this round. (Limit once per phase.)	Lord.	1.5
Stark	󲀋 Robb Stark	Character	󲀈   󲀉	6	1					5	Renown.Reaction: After a 󲀆 character you control is sacrificed or killed, stand each 󲀆 character you control.	Lord.	1.0
Stark	󲀋 Grey Wind	Character	󲀈    	5	1					4	No attachments. Intimidate. (After you win a challenge in which this character participated, you may choose and kneel a character with lower STR.)Robb Stark gains intimidate.	Direwolf.	1.5
Stark	󲀋 Catelyn Stark	Character	  󲀊 󲀉	4						4	While Catelyn Stark is participating in a challenge, your opponents cannot trigger card abilities.	Lady.	1.0
Stark	Vanguard of the North	Character	󲀈    	4						4	No attachments.While any player has a War plot revealed, Vanguard of the North does not kneel to attack during 󲀈 challenges.	Army.	1.0
Stark	󲀋 Arya Stark	Character	    󲀉	2						2	Stealth.Arya Stark enters play with 1 save token on her.Interrupt: When Arya Stark is killed or discarded from play, discard 1 save token from her to save her.	Lady.	1.4
Stark	󲀋 Sansa Stark	Character	  󲀊 󲀉	3						2	Sansa Stark gets +2 STR for each attachment on her.	Lady.	1.5
Stark	Tully Loyalist	Character	󲀈   󲀉	3						3	(no special ability)	Bannerman. House Tully.	1.1
Stark	󲀋 Bran Stark	Character	    󲀉	2						1	Interrupt: When an opponent plays an event card, sacrifice Bran Stark to cancel its effects.	Lord.	1.0
Stark	󲀋 Summer	Character	󲀈    	3						3	No attachments. Ambush (3).Reaction: After you ambush Summer into play, return a 󲀆 character with printed cost 2 or lower from your discard or dead pile to your hand.	Direwolf.	1.2
Stark	Direwolf Pup	Character	󲀈    	2						0	No attachments.Direwolf Pup gets +1 STR for each Direwolf character you control.	Direwolf.	1.0
Stark	Winterfell Steward	Character	    󲀉	1						1	Marshaling Action: Kneel Winterfell Steward to reduce the cost of the next 󲀆 character you marshal this phase by 1.	Ally. Steward.	1.4
Stark	󲀋 Ice	Attachment		3							󲀆 character only. Attached character gets +2 STR.Reaction: After you win a 󲀈 challenge in which attached character participated, sacrifice Ice to choose and kill a character controlled by the losing opponent.	Weapon.	1.4
Stark	Winterfell Heart Tree	Location		0							Limited.Marshaling Action: Kneel Winterfell Heart Tree to reduce the cost of the next 󲀆 card you marshal this phase by 1. 	Winterfell.	1.2
Stark	󲀋 The Wolfswood	Location		2							Each Direwolf character you control gains stealth.	The North.	1.0
